Movie_name,Movie_date
Avengers: Infinity War Part 2,"May 3, 2019"
Captain Marvel,"Mar 8, 2019"
Black Panther,"Feb 16, 2018"
Avengers: Infinity War,"May 4, 2018"
Thor: Ragnarok,"Nov 3, 2017"
Guardians of the Galaxy Vol. 2,"Aug 8, 2017"
Doctor Strange,"Nov 4, 2016"
Captain America: Civil War,"May 6, 2016"
Ant-Man,"Jul 17, 2015"
Avengers: Age of Ultron,"May 1, 2015"
Guardians of the Galaxy,"Aug 1, 2014"
Captain America: The Winter Soldier,"Apr 4, 2014"
Thor: The Dark World,"Nov 8, 2013"
Iron Man 3,"May 3, 2013"
Marvel's The Avengers,"May 4, 2012"
Captain America: The First Avenger,"Jul 22, 2011"
Thor,"May 6, 2011"
Iron Man 2,"May 7, 2010"
The Incredible Hulk,"Jun 13, 2008"
Iron Man,"May 2, 2008"
Avengers: Infinity War Part 2,"May 3, 2019"
Captain Marvel,"Mar 8, 2019"
Ant-Man and The Wasp,"Jul 6, 2018"
Avengers: Infinity War,"May 4, 2018"
Black Panther,"Feb 16, 2018"
Thor: Ragnarok,"Nov 3, 2017"
Spider-Man: Homecoming,"Oct 17, 2017"
Guardians of the Galaxy Vol. 2,"Aug 8, 2017"
Doctor Strange,"Nov 4, 2016"
Captain America: Civil War,"May 6, 2016"
Ant-Man,"Jul 17, 2015"
Avengers: Age of Ultron,"May 1, 2015"
Guardians of the Galaxy,"Aug 1, 2014"
Captain America: The Winter Soldier,"Apr 4, 2014"
Iron Man 3,"May 3, 2013"
Thor: The Dark World,"Nov 8, 2013"
Marvel's The Avengers,"May 4, 2012"
Captain America: The First Avenger,"Jul 22, 2011"
Thor,"May 6, 2011"
Iron Man 2,"May 7, 2010"
The Incredible Hulk,"Jun 13, 2008"
Iron Man,"May 2, 2008"
Marvel's Iron Man & Hulk: Heroes United,"Dec 3, 2013"
Iron Man: Rise of Technovore,"Apr 16, 2013"
Hulk Vs.,"Jan 27, 2009"
Planet Hulk,"Feb 28, 2010"
Doctor Strange,"Aug 14, 2007"
Spider-Man: Into the Spider-Verse,"Dec 21, 2018"
The Amazing Spider-Man 2,"May 2, 2014"
The Amazing Spider-Man,"Jul 3, 2012"
Spider-Man 3,"May 4, 2007"
Spider-Man 2,"Jun 30, 2004"
Spider-Man,"May 3, 2002"
The Untitled Deadpool Sequel,"May 18, 2018"
Logan,"Mar 3, 2017"
X-Men: Apocalypse,"May 27, 2016"
Deadpool,"Feb 12, 2016"
X-Men: Days of Future Past,"May 23, 2014"
The Wolverine,"Jul 26, 2013"
X-Men: First Class,"Jun 3, 2011"
X-Men Origins: Wolverine,"May 1, 2009"
X3: The Last Stand,"May 26, 2006"
X2: X-Men United,"May 2, 2003"
X-Men,"Jul 14, 2000"
Fantastic Four,"Aug 7, 2015"
Ghost Rider: Spirit of Vengeance,"Feb 17, 2012"
Punisher: War Zone,"Dec 5, 2008"
Fantastic Four: Rise of the Silver Surfer,"Jun 15, 2007"
Ghost Rider,"Feb 16, 2007"
Fantastic Four,"Jul 8, 2005"
Man-Thing,"Apr 21, 2005"
Elektra,"Jan 14, 2005"
Blade: Trinity,"Dec 8, 2004"
The Punisher,"Apr 16, 2004"
Hulk,"Jun 20, 2003"
Daredevil,"Feb 14, 2003"
Blade II,"Mar 22, 2002"
Blade,"Aug 21, 1998"
Howard The Duck,"Aug 1, 1986"
